"","site","site_index","site_name","utm_e_cam","utm_n_cam","stratum","manager","mgr_type","mgr_code","camera","dir_deg","urb1km_10","ndvi_wd100m","ndvi_sd_wd100m","ndvi_wd1km","ndvi_sd_wd1km","ndvi_wd5km","ndvi_sd_wd5km","ndvi_ww100m","ndvi_sd_ww100m","ndvi_ww1km","ndvi_sd_ww1km","ndvi_ww5km","ndvi_sd_ww5km","ndvi_cw100m","ndvi_sd_cw100m","ndvi_cw1km","ndvi_sd_cw1km","ndvi_cw5km","ndvi_sd_cw5km","ppt_wd","ppt_ww","ppt_cw","tmin_wd_DM","tmin_ww_DM","tmin_cw_DM","tmax_wd_DM","tmax_ww_DM","tmax_cw_DM","ppt_wd_DM","ppt_ww_DM","ppt_cw_DM","urb100m_15","urb1km_15","veg100m_15","veg1km_15","imp100m","imp1km","imp5km","mpa100m","mpa1km","mpa5km","pd100m","pd1km","pd5km","ed100m","ed1km","ed5km","coh100m","coh1km","coh5km","prd100m","prd1km","prd5km","sdhi100m","sdhi1km","sdhi5km"
"1","1-01_AF14",1,"AF14",444392,3711039,"1","USDA Forest Service","FEDERAL","USFS","Bushnell",302,0.004169716965407,0.102585776570118,0.0037465689790485,0.107302394656276,0.00762963557546092,0.115703874623066,0.0246342835602502,0.0980917923151165,0.00329687401724425,0.10214206767571,0.00692695364630356,0.110081014108439,0.0262346799371581,0.124610705639828,0.00498567156800967,0.134439048357524,0.0140826265078398,0.147484427818303,0.028034531933079,0.2999994,6.3999872,8.5999828,19.0966036985417,23.0675330225,6.22188582540625,35.58091293,37.7246521908333,19.4796032597917,11.013117407,122.088258441,121.993885882,0,0.000254639220656827,0.0441640391945839,0.0528694652020931,0,0.0839541547277937,0.117485837480792,3.15,104.7,90.2089655172414,31.7460317460317,0.955109837631328,1.10853726596485,0,4.39350525310411,15.9591140875974,100,99.577108431838,99.0853654877961,31.7460317460317,0.636739891754218,0.0891926535833786,0,0.0508010531756402,0.279889244485524
"2","1-02_EME",2,"EME",378100,3691144,"1","Maricopa County Regional Parks","COUNTY","MCRP","Bushnell",340,0.000190979408217,0.095278111012184,0.00694169803843796,0.0880579382743444,0.00688733656298897,0.125682943309557,0.0687546697408641,0.0870727183692433,0.00562786460535735,0.0785636489786369,0.00701366364691487,0.119201670177355,0.0658641303385733,0.118834712097178,0.0148162096731406,0.114772301514552,0.0183673370860889,0.112735908801235,0.0409677418371111,0.0999998,4.5999908,5.7999884,19.9585904748958,23.464138621875,6.60115101852083,36.3523454397917,38.4352773332292,20.0400472465625,5.286756374,48.335975653,69.071735825,0,0,0.104100950062275,0.0252092815935612,0,0,1.5465949615292,2.88,313.29,25.7338032786885,34.7222222222222,0.319193079894028,3.8859393971825,0,0,32.5807351687708,100,100,98.8240875675601,34.7222222222222,0.319193079894028,0.0891854943615656,0,0,0.975086830930517
"3","1-03_EMW",3,"EMW",372053,3685604,"1","Maricopa County Regional Parks","COUNTY","MCRP","Bushnell",89,0,0.0837858714193093,0.00246869679452282,0.0846770656327135,0.00517643367393513,0.0853556852196994,0.00804809770098002,0.0757023997696293,0.00281482925822179,0.0766498522662122,0.00538458768343941,0.0791916015514345,0.00883876230465682,0.0949041772456396,0.00456344713595716,0.0984806815754432,0.00853900826863479,0.108728688660339,0.0173134550139647,1.0999978,3.0999938,5.7999884,19.6912337920833,23.2671423604167,6.46956257601042,36.13885454875,38.2601185366667,19.9150871036458,4.259905132,41.280948503,73.007100417,0,0,0.00630914838984609,0.0257185604423285,0,0,0.125536062378168,3.15,313.74,156.978,31.7460317460317,0.318735258494295,0.637031940781511,0,0,3.99036807705538,100,100,99.8370275272812,31.7460317460317,0.318735258494295,0.0637031940781511,0,0,0.0491249354243037
"4","1-04_J9",4,"J9",355142,3730852,"1","Private landowner","PRIVATE","PRIV","Bushnell",54,0.000190979408217,0.0982568920665081,0.00457591041576618,0.105244654353709,0.015906459029866,0.100901057627982,0.0202219489817295,0.0857354320866007,0.0041366734120071,0.0917981554200036,0.0115053002370711,0.0908823781837782,0.0162722584309604,0.139511981809681,0.0143435805961802,0.15634044942526,0.0306906676334124,0.150722514584869,0.0457844223593822,0.5999988,8.8999822,7.5999848,19.301161233125,22.7514273120833,6.29977524379167,35.1330385680208,37.3892871107292,18.8503575834375,17.019171121,75.297051644,84.696262349,0,0,0,0.04761753231287,0,0,0.622349879031796,1.05,8.72,10.1937272727273,95.2380952380952,11.4678899082569,9.80995442830261,47.6190476190476,134.365443425076,114.543321140961,94.683439994266,98.2324789322924,99.0436402344849,63.4920634920635,1.27420998980632,0.0764412033374229,0.219032521789021,0.744011514014113,0.797764342617295
"5","1-05_MCS",5,"MCS",433344,3722966,"1","Maricopa County Regional Parks","COUNTY","MCRP","Bushnell",17,0,0.106226164237908,0.00667068629400253,0.106282823676441,0.00964837044122391,0.121066997703292,0.0599883663153992,0.0981263656218284,0.00446156524807732,0.0980670083389674,0.00763641067475996,0.11218874198766,0.0562763198734716,0.149694747677663,0.0111929488437128,0.149388228504091,0.016090764529555,0.15115058320327,0.0527497254703046,0.7999984,8.8999822,10.6999786,18.9929220492708,22.8181381835417,6.18053004042708,34.8418144017708,37.1015972658333,18.968030484375,16.904823251,98.831834677,141.5603399,0,0,0.0473186112940311,0.12012604624033,0,0,7.94992833801525,3.15,313.92,17.1383187772926,31.7460317460317,0.31855249745158,5.83487804722684,0,0,49.563339639588,100,100,99.0182031163291,31.7460317460317,0.31855249745158,0.0891793588004102,0,0,0.823379025380809
"6","1-06_T21",6,"T21",394089,3686284,"1","City of Phoenix","MUNICIPAL","CPHX","Bushnell",0,0,0.08544136152583,0.00448897908350368,0.0779475415893427,0.0102665243681228,0.104632528642787,0.0595641187749844,0.0795770547510218,0.00534213669364559,0.0729737641352553,0.00926865936677455,0.097776956647452,0.0589507329832687,0.104086582802913,0.00433536996929049,0.0979277316015322,0.0114469272359832,0.110913937818531,0.048302268743531,0.1999996,2.8999942,6.499987,19.70401547,23.1128668289583,6.31848553210417,36.2654888592708,38.2247857177083,19.9790036317708,5.094610221,31.261747258,70.215121256,0,0.000668427906930447,0.0347003154456615,0.0166152082383633,0,0.259758897818599,4.18072979977523,2.88,62.712,18.7307398568019,34.7222222222222,1.59459114682995,5.33881740734795,0,10.7156525066973,53.3856257119485,100,98.9450717614653,99.1269374505457,34.7222222222222,0.637836458731981,0.0891926535833786,0,0.0870194797298112,0.804028288784988
"7","1-07_UMP",7,"UMP",443628,3701760,"1","Maricopa County Regional Parks","COUNTY","MCRP","Bushnell",84,0.018906962126493,0.103086684153952,0.00700960305634903,0.100263187229102,0.0111406691856807,0.0982867585837135,0.0275265693162126,0.0994590079142953,0.00693480737788697,0.0968589478134742,0.010882237226159,0.0959133524342989,0.0278091423705165,0.158108932389454,0.0128412126217807,0.14417585324287,0.022544215497082,0.128875080483075,0.0411419395096125,0.3999992,8.5999828,8.2999834,18.5409206027604,22.3490737902083,5.8116205843125,35.1496359679167,37.2009491767708,19.1808118827083,18.82001357,139.257226529,115.048957702,0,0.0154375024139881,0.0757097825407982,0.100327849388123,0,2.19385410683515,15.7152998382972,2.88,10.1090322580645,10.8244551724138,34.7222222222222,9.89214372327526,9.23834025890289,0,60.1187057246793,56.9247412946164,100,97.8859522998095,99.4322210897422,34.7222222222222,0.638202820856468,0.0637126914407096,0,0.467997269010596,0.696604557816294
"8","1-08_V9",8,"V9",402672,3734402,"1","Maricopa County Flood Control District","COUNTY","MCFC","Bushnell",136,0,0.103817099294505,0.0163576500081194,0.0988007654209698,0.026064020890048,0.0921256630513454,0.0225017796304111,0.090762651396545,0.0116933960944436,0.0863488318417816,0.0177041997832181,0.0814951346459744,0.0183175270799321,0.128706349650534,0.0105623015746726,0.148201050356741,0.0268853973432589,0.138701639872379,0.0351343536350141,0.499999,3.8999922,8.2999834,19.0350552946146,22.5960679508333,6.01916763969792,34.7701367808333,37.049239101875,18.8069552726042,15.384750352,60.825519365,118.204750609,0,0,0.17034700512886,0.0554795190691948,0,0,3.2147567115056,3.33,104.67,37.7312019230769,30.03003003003,0.955383586509984,2.65032638514594,0,1.91076717301997,27.5723137731601,100,99.882655162816,99.2821438458651,30.03003003003,0.636922391006656,0.0764517226484406,0,0.0144663786972496,0.378087897271232
"9","1-09_W19",9,"W19",406975,3691758,"1","City of Phoenix","MUNICIPAL","CPHX","Bushnell",307,0.003278479911387,0.0942296338543329,0.00607728735431954,0.0915176150406224,0.010318446756596,0.0973520410978224,0.0489574712847727,0.0868424816508236,0.00677240378958291,0.0807919426713766,0.00881257773179692,0.0899192376748745,0.0471645640984062,0.124342638644434,0.0114802160095654,0.115072310092267,0.0181733332177206,0.103894222290207,0.0541031464254302,0.0999998,4.1999916,5.2999894,19.3844825759375,22.7685750425,6.09984692809375,35.7697862402083,37.7498370139583,19.6723472327083,9.410460109,48.498376176,83.672057178,0,0.00238724262453616,0.0126182967796922,0.0102173984050751,0,1.05164992826399,36.073417634448,3.24,104.55,21.8674930362117,30.8641975308642,0.956480153036825,4.57299791221627,0,5.83452893352463,25.3017987549727,100,99.5764088555219,99.62686031962,30.8641975308642,0.637653435357883,0.0764289344660102,0,0.116775418085049,0.682070432552861
"10","1-10_GOAT",10,"GOAT",360013,3715683,"1","Maricopa County Regional Parks","COUNTY","MCRP","Bushnell",309,0.008275774307549,0.0991051635865486,0.00624170090862537,0.0947754433582707,0.00691464617928619,0.0979981580499854,0.0162534684921434,0.0970876033138733,0.00502226159336289,0.0914615042159306,0.00575210843366693,0.0906816797999255,0.0144393823112461,0.184867872132195,0.0133790904052759,0.167995429061815,0.0184692159407376,0.14657843776004,0.0334066446123625,0.2999994,6.1999876,7.999984,19.2957049964583,22.7666761014583,6.24935999027083,34.9143594621875,37.1843449817708,18.8755477071875,7.530323437,70.345566191,84.235323264,0,0.0057930420152843,0.0220820195972919,0.00194162398111075,0,0.270588235294118,1.05555491853092,3.15,78.4125,40.0458673469388,31.7460317460317,1.27530687071577,2.49713657425987,0,1.14777618364419,19.9821887911693,100,99.9261605689348,99.5785686333023,31.7460317460317,0.637653435357883,0.0637024636290784,0,0.00693587990952568,0.323534759856922
