"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta.comm.psi1[1]",-1.36122544093416,0.915078411799456,-2.96922119570173,-1.89200421538788,-1.44051421315512,-0.928048185286955,0.73558675800697,1.00067427373384,5388,1,0.934433333333333
"beta.comm.psi1[2]",-0.046033892784347,0.421828792992759,-0.889792279615224,-0.25777704801151,-0.0364887165721833,0.184048384096132,0.756235221444264,1.01094649070934,1011,1,0.549066666666667
"beta.comm.phi[1]",1.69126444503523,0.666011022668525,0.271244580575084,1.34811162120322,1.71533773288518,2.07235016801661,2.94685496934252,1.00180737036141,5547,0,0.984966666666667
"beta.comm.phi[2]",0.0236136150735772,1.23850573937364,-2.48343210992901,-0.629684792540312,0.0336507066636819,0.651780194393939,2.53935915628483,1.01339903203238,242,1,0.514333333333333
"beta.comm.gamma[1]",-3.28953228322079,0.889595028106336,-4.81002804180734,-3.79879009673797,-3.37542586443638,-2.90410236325933,-1.15459311730887,1.00189233939447,4365,0,0.992733333333333
"beta.comm.gamma[2]",-0.275946716431015,0.484226605265034,-1.25214812647049,-0.529708603843669,-0.265077147052588,-0.0112548615955213,0.620134974852117,1.00271265770128,1081,1,0.76
"rho.comm[1]",-0.429072660180011,0.223777649385649,-0.896500433292561,-0.571199194305544,-0.420314008821532,-0.276049379151126,-0.016551639870681,1.00066895560637,10096,0,0.979733333333333
"rho.comm[2]",0.0862859595018228,0.152459205328132,-0.220715249627577,-0.0135552076702222,0.0892237229615514,0.187263287897651,0.382494321928383,1.00074304075881,4472,1,0.720666666666667
"eff.traits.psi[1,1]",0.330966622655171,0.753329253791434,-0.976486205506033,-0.17036833559023,0.258122855028238,0.766980122965986,2.01662470122144,1.000176774502,13446,1,0.652333333333333
"eff.traits.psi[2,1]",0.193600979798317,0.33022707721336,-0.418628572669125,-0.0197318674930878,0.181192473156972,0.388860480253956,0.9092853855589,1.00045618900839,9749,1,0.727533333333333
"eff.traits.psi[1,2]",0.264180001091659,0.544005521050133,-0.745440500692493,-0.101454624705982,0.235714302506584,0.612299945018775,1.39829095043062,1.00028734531124,6652,1,0.684033333333333
"eff.traits.psi[2,2]",0.163158851793181,0.2316973291295,-0.276403504464849,0.00891821345117497,0.156342611084797,0.313079806980276,0.639828583655182,1.00044538331794,4325,1,0.762133333333333
"eff.traits.phi[1,1]",0.401785519388206,0.572400924969337,-0.729252263771145,0.0420747129706492,0.401511201038041,0.75718665136743,1.55359726327006,1.000149102223,18442,1,0.774133333333333
"eff.traits.phi[2,1]",-0.285834658796175,1.14056453674641,-2.76255122721062,-0.97520397401012,-0.173660336445237,0.486600821077969,1.72209354382613,1.00030399444394,6165,1,0.566866666666667
"eff.traits.phi[1,2]",-0.401078314795432,0.420516634036358,-1.24272874534672,-0.671159888219487,-0.394640895743086,-0.129959559247552,0.427748683332717,1.00008973335145,30000,1,0.8407
"eff.traits.phi[2,2]",-0.387430176995784,0.822568549857664,-2.21011793698581,-0.886063022914778,-0.311509091269046,0.173577985162754,1.06185143686469,1.00028589340194,6557,1,0.665233333333333
"eff.traits.gamma[1,1]",0.676840153058296,0.698746595476609,-0.563302381035652,0.219160329907861,0.61489621708267,1.06056457281825,2.27361158802041,1.00057941015467,3768,1,0.856433333333333
"eff.traits.gamma[2,1]",0.0388622603298938,0.402373048339408,-0.738114193240046,-0.216726500242704,0.0308468900616019,0.281711322000751,0.863255038526378,1.00065952823109,30000,1,0.534866666666667
