"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta.comm.psi1[1]",-1.38111271916128,0.909022564306974,-2.97550446397242,-1.91510586882373,-1.46519204252427,-0.940754915698353,0.710573940813158,1.00264326043043,1883,1,0.931833333333333
"beta.comm.psi1[2]",0.367446397910386,0.421313421089735,-0.3951720123947,0.142607674011901,0.349923110632073,0.566656665558979,1.24023637048742,1.00660841376222,2275,1,0.8648
"beta.comm.phi[1]",1.76713432681729,0.656515281170401,0.388763803757253,1.43427683667861,1.78812186479265,2.13567561940553,2.95941616215604,1.00507727527772,3796,0,0.986433333333333
"beta.comm.phi[2]",-0.218979408389465,1.19534005879858,-2.64029174604195,-0.861930262257752,-0.217783353838448,0.387687053527556,2.30895949712638,1.00560670324252,549,1,0.6015
"beta.comm.gamma[1]",-3.30497232354548,0.930714423626914,-4.90245631265472,-3.82426764073929,-3.3826034050707,-2.89424130849922,-1.12970566495128,1.00347170592693,1930,0,0.9917
"beta.comm.gamma[2]",0.20309103777312,0.436515546959131,-0.653754999162783,-0.0332701477779183,0.204314598333419,0.438133095440089,1.06345165923949,1.00300111327421,2022,1,0.718933333333333
"rho.comm[1]",-0.434931010241883,0.223398589160235,-0.90547326384946,-0.576787401649509,-0.425772239729697,-0.282047748631836,-0.0230376791544014,1.00069102770961,3193,0,0.980466666666667
"rho.comm[2]",0.0739585316944338,0.150852543807412,-0.228118849860364,-0.0235940874433786,0.074788008506715,0.174821597092743,0.369866873182886,1.00064486998167,3156,1,0.695866666666667
"eff.traits.psi[1,1]",0.316139989251318,0.751955885931612,-1.01446842187494,-0.185540356953343,0.245343483062344,0.752378188537148,2.00390419559529,1.00041480787487,30000,1,0.645333333333333
"eff.traits.psi[2,1]",0.0707984403601056,0.307863858571875,-0.536962203674082,-0.120973708806091,0.0686149179927704,0.258288028537008,0.691755010232881,1.00052087615324,30000,1,0.599133333333333
"eff.traits.psi[1,2]",0.254346481368436,0.541445834191739,-0.741247847323664,-0.110371702950476,0.229747459976061,0.594192135406347,1.37905867908114,1.00028791416683,12592,1,0.674166666666667
"eff.traits.psi[2,2]",0.104378833790523,0.219624718828424,-0.316491869666166,-0.0414577153195699,0.102548732260799,0.245370246024201,0.552049144246835,1.0000544436275,30000,1,0.685
"eff.traits.phi[1,1]",0.43854945248928,0.564540801495119,-0.680682999492434,0.0893173332818122,0.432777060965966,0.789246256926299,1.56483677178153,1.00111022257691,2542,1,0.800966666666667
"eff.traits.phi[2,1]",-0.642543838280736,0.880300847432132,-2.54476848707881,-1.17474486418252,-0.573445381891206,-0.0461187584380308,0.942220342946079,1.00460652646796,578,1,0.769533333333333
"eff.traits.phi[1,2]",-0.565675686155903,0.422627216910785,-1.41966179038729,-0.829646701588033,-0.560415591146454,-0.297233911727929,0.263788976727305,1.00093588188816,3062,1,0.9133
"eff.traits.phi[2,2]",-0.989293515522671,0.72011499795224,-2.49089246571834,-1.45850612495595,-0.958883728510189,-0.474593052312132,0.297313981198176,1.00373393569902,631,1,0.9238
"eff.traits.gamma[1,1]",0.740102792058153,0.755922776858133,-0.580642895231319,0.251198594807057,0.664878473174662,1.15904151361825,2.44103901944082,1.0007337542654,22254,1,0.861933333333333
"eff.traits.gamma[2,1]",0.0257696150143207,0.364401041124217,-0.712953592192802,-0.198799573923839,0.0304598125243126,0.255999876139588,0.741443041391935,1.00026640219795,7881,1,0.536866666666667
"eff.traits.gamma[1,2]",0.410913684328634,0.556385164412303,-0.684684320754299,0.0553989371478126,0.400645425873027,0.757579486678557,1.54304948998113,1.00015835123227,17100,1,0.781833333333333
"eff.traits.gamma[2,2]",0.049961537176033,0.2582655224238,-0.449928132694191,-0.120847448854307,0.0488103850535456,0.218290584190524,0.568117254209476,1.00003095886972,30000,1,0.577066666666667
"eff.order.psi[1,1]",-0.38665954517805,1.29119604781613,-3.70052912451487,-0.893768507591027,-0.160975238873478,0.330816144557845,1.74239603302104,1.00051906593763,5140,1,0.5855
"eff.order.psi[2,1]",0.00025052854210599,0.541167349904196,-1.12301131542619,-0.258468616890594,0.0112553690212549,0.283140961346397,1.05293541146272,1.00270219948383,3876,1,0.511666666666667
"eff.order.psi[1,2]",-0.902374210321388,1.07857043609341,-3.54094761062696,-1.4277786378657,-0.689272220227331,-0.189718004333166,0.693936385796424,1.00136470932633,5393,1,0.8385
"eff.order.psi[2,2]",-0.113668001409708,0.46166651337616,-1.09244091004244,-0.327328636106513,-0.0867273275812126,0.137233575311448,0.708437837509399,1.00572797851327,2072,1,0.604366666666667
"eff.order.psi[1,3]",0.99128576700963,1.2872631867984,-0.913197980280443,0.142083707739939,0.721542885933179,1.62676759733892,4.16318800042455,1.00154623872367,4978,1,0.812966666666667
"eff.order.psi[2,3]",0.161129614332072,0.513947058128967,-0.810063694426842,-0.113263128675436,0.136504499400264,0.417268516326459,1.27146057274329,1.00218679611028,5823,1,0.643833333333333
"eff.order.psi[1,4]",-0.0107758151251909,1.10412367075536,-2.26880349168357,-0.561946703504114,-0.0257708844681065,0.500830268589942,2.38798635130783,1.00202708901764,2993,1,0.514066666666667
"eff.order.psi[2,4]",-0.0937312979681488,0.528147040211111,-1.24189964754689,-0.346539594754518,-0.0706225979135968,0.187042703414046,0.908286645240244,1.00231158804945,4635,1,0.571833333333333
