"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta.comm.psi1[1]",-1.64703782107485,1.22447682805174,-3.73809738428694,-2.38928409543919,-1.77663622339673,-1.05555429130588,1.21018899471116,1.00144418657097,1680,1,0.9151
"beta.comm.psi1[2]",-1.29881236817855,0.596983500746379,-2.45635757965569,-1.62991255514393,-1.3023543232396,-0.982993059925204,-0.0894145359053542,1.00063751645658,5004,0,0.979266666666667
"beta.comm.psi1[3]",-0.203932597840134,0.589045934447794,-1.37521545764874,-0.514584555801474,-0.211230876947322,0.0961516091160315,1.03309122103865,1.00500664538906,1748,1,0.681833333333333
"beta.comm.phi[1]",2.12676510925571,0.736945731235508,0.669270604005876,1.70730978384024,2.13022184205975,2.55765493313744,3.57739325295752,1.00564235308784,533,0,0.992533333333333
"beta.comm.phi[2]",-0.267383449389907,0.766472286339856,-1.6710884430855,-0.69079296891703,-0.288347062454973,0.120329523211081,1.25302316561013,1.01715487191757,1653,1,0.686466666666667
"beta.comm.phi[3]",-0.439916858115251,0.704373277377562,-1.84062900957973,-0.859945481530919,-0.445314468600444,-0.0240887536537824,0.978246440556248,1.00447179958996,491,1,0.762566666666667
"beta.comm.gamma[1]",-3.4483347410998,1.24051004479883,-5.53886746279496,-4.18623407555436,-3.56870359769911,-2.90670387791293,-0.382481183878861,1.00425582911132,1098,0,0.982033333333333
"beta.comm.gamma[2]",-1.41992311210039,0.722839165316962,-2.96515948611451,-1.81275561425442,-1.398394189585,-1.01162954528842,0.00429146628102407,1.00067512527984,13477,1,0.9748
"beta.comm.gamma[3]",-0.462959293240852,0.783347687214271,-2.03490391659929,-0.892523050481782,-0.455377350400269,-0.0351345275810855,1.09014588244731,1.00047813253406,8593,1,0.765533333333333
"rho.comm[1]",-0.392398842162701,0.215806800993609,-0.840140845878269,-0.532186388426225,-0.384011214355278,-0.244733351579679,0.00867008584639665,1.00009029899509,30000,1,0.972433333333333
"rho.comm[2]",0.0865436068141682,0.152947123482872,-0.220214969409198,-0.0129662655644944,0.0879869527128271,0.18746429814563,0.384046031777351,1.00018987854052,9313,1,0.7222
"eff.traits.psi[1,1]",0.126717061463683,1.14126044827456,-1.79019649243498,-0.645863873839498,-0.0128478368543907,0.772494669028627,2.76860200780166,1.00040549595141,6502,1,0.495466666666667
"eff.traits.psi[2,1]",-0.164915852527381,0.515948037751314,-1.1579399582865,-0.486570693397586,-0.175449508188538,0.139715131913763,0.908271024529601,1.00021204818922,11699,1,0.6456
"eff.traits.psi[3,1]",0.0483584576500698,0.467932063314094,-0.98383653656052,-0.226230977296421,0.073952905424967,0.357518189495709,0.897971285604941,1.00058588678415,14565,1,0.567566666666667
"eff.traits.psi[1,2]",0.214718571255178,0.793535455189783,-1.25926789644805,-0.327115132382362,0.182870653944856,0.72381926032582,1.86917191950918,1.00016549757525,30000,1,0.594733333333333
"eff.traits.psi[2,2]",0.427254791442722,0.396602202677584,-0.351671157288131,0.166771320068539,0.424961739551329,0.685190483958825,1.21262042809818,1.00024793996451,7223,1,0.867933333333333
"eff.traits.psi[3,2]",0.348882042429837,0.337242577334986,-0.299288344048961,0.124057120678549,0.343373516991333,0.56731535167811,1.03017052278184,1.00010336336019,21559,1,0.8557
"eff.traits.phi[1,1]",0.571114267424899,0.674675088111708,-0.79237008448726,0.160132711563752,0.585097061424026,1.00448517717939,1.86443762249291,1.00541575251768,375,1,0.821466666666667
"eff.traits.phi[2,1]",-0.366387483571963,0.739572135047826,-1.80827738276506,-0.8451193355092,-0.379553439367452,0.100086782798371,1.12818096877251,1.00090659511646,2121,1,0.704
"eff.traits.phi[3,1]",-0.558907925474204,0.712362391184779,-2.00440802376077,-1.01638418748294,-0.549906280683659,-0.0861549012234267,0.817807444248554,1.0035118686309,642,1,0.7896
