"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta.comm.psi1[1]",-1.80599978889483,1.29381495193926,-3.98620254085001,-2.5997742984569,-1.96503753893613,-1.17408148965305,1.27027355984541,1.00030652877692,9817,1,0.916366666666667
"beta.comm.psi1[2]",-1.5761271205438,0.711505340937562,-2.92712414095932,-1.96847953492303,-1.59767287083439,-1.21447871927924,-0.0891582821311212,1.00328049794269,4178,0,0.978533333333333
"beta.comm.phi[1]",1.45420179399485,0.607506896064545,0.187118555900687,1.12696602659199,1.47044947134901,1.81086460341446,2.5807615496748,1.00171425032444,1173,0,0.9834
"beta.comm.phi[2]",-0.215166601601298,0.728825767030837,-1.59791759935033,-0.602042607762829,-0.226273021114584,0.162309052615583,1.27998716431453,1.00613127527265,30000,1,0.656633333333333
"beta.comm.gamma[1]",-3.775578569708,1.3760368457989,-5.91674679138176,-4.60575905189544,-4.00498936713034,-3.2172154647121,-0.286935509223941,1.00238285095781,1176,0,0.9798
"beta.comm.gamma[2]",-2.02649657558497,0.972588484312793,-3.90800314730203,-2.53225941250273,-2.02784356526472,-1.54326004980582,-0.0461517087047608,1.00986708286974,431,0,0.9766
"rho.comm[1]",-0.365172844861386,0.211464059901927,-0.806321037031942,-0.500572506339937,-0.357172386525557,-0.222749524741652,0.0347087463648459,1.00023709944153,7688,1,0.963466666666667
"rho.comm[2]",0.0741718737092469,0.151013769916179,-0.226413475935161,-0.0245329368920215,0.074662254002478,0.174690276754118,0.370512312082031,1.00045167323927,4633,1,0.691833333333333
"eff.traits.psi[1,1]",0.592369274204055,1.0772232992621,-1.24855209257969,-0.154074305736312,0.470320000856871,1.23613112869099,3.01356329331552,1.00008480379488,30000,1,0.692833333333333
"eff.traits.psi[2,1]",0.0470579630439801,0.582591573420698,-1.06495776792623,-0.32167507756766,0.0290717439729425,0.39568754091612,1.25243224648966,1.00028491292962,16578,1,0.523533333333333
"eff.traits.psi[1,2]",0.773969290642083,0.7765971741164,-0.663647208118961,0.241107404888202,0.745313998245348,1.28367385465746,2.36963844638258,1.00021504042781,11090,1,0.844633333333333
"eff.traits.psi[2,2]",0.585836642571223,0.462886336855187,-0.290023750665248,0.282241590413836,0.570816893354777,0.871053065051445,1.54753732093898,1.00040857132183,4705,1,0.906833333333333
"eff.traits.phi[1,1]",0.430802995584642,0.562970974515861,-0.725482849762769,0.0814694150015213,0.44153862147764,0.795636606190995,1.51661455096435,1.00037692533446,4981,1,0.7947
"eff.traits.phi[2,1]",-0.105390070978365,0.646754826120459,-1.51217606986746,-0.48232788322777,-0.0665749412722924,0.310115377689857,1.06220289490249,1.00479478626901,1542,1,0.548866666666667
"eff.traits.phi[1,2]",-0.385600678490155,0.440687448998211,-1.23562360106588,-0.671714487620102,-0.392662408947386,-0.107416392897063,0.511659362797575,1.00023010614079,8438,1,0.8217
"eff.traits.phi[2,2]",-0.137516255231296,0.476339775955524,-1.12849018048457,-0.429592789188746,-0.124325245678553,0.173105400448957,0.781673480591699,1.00205536089088,1965,1,0.613133333333333
"eff.traits.gamma[1,1]",1.48609396367606,1.15590764035741,-0.338491912838519,0.661064926827029,1.29543560096222,2.17781584966015,4.07294333172521,1.00172315594843,1855,1,0.9348
"eff.traits.gamma[2,1]",0.982987679895517,0.856933179432599,-0.445618595017481,0.410775690984941,0.882477499752673,1.45567908860895,2.99586345284199,1.0008438908889,4859,1,0.899
