"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta.comm.psi1[1]",-1.76911504207409,1.16895504048347,-3.79031385632248,-2.48155718648131,-1.88718716667776,-1.20470663080188,1.01014355259933,1.00101847247839,15312,1,0.930466666666667
"beta.comm.psi1[2]",-1.19047219603605,0.571988092139941,-2.28356240475673,-1.50730241026118,-1.20113742552317,-0.897013119592718,-0.0665084343946067,1.00100566978113,5784,0,0.978366666666667
"beta.comm.phi[1]",1.71301694921464,0.600248197419853,0.484432629934634,1.38133630291771,1.72193557932714,2.05567964566579,2.8946687528682,1.00092274165347,8576,0,0.9907
"beta.comm.phi[2]",0.0871280148775554,0.634919835282099,-1.17143948241259,-0.256807537671996,0.0870086485839713,0.437411972206563,1.36455977572894,1.00025290460799,7780,1,0.5726
"beta.comm.gamma[1]",-3.39297849187835,1.28016080255178,-5.36766366164004,-4.16298579290312,-3.59234206337379,-2.86102540946713,-0.250968277731465,1.01024870603327,481,0,0.9797
"beta.comm.gamma[2]",-1.13682159071509,0.59478979741804,-2.31618217881132,-1.4636989876693,-1.13669797519676,-0.817607589293706,0.0694835061303933,1.0046197265907,747,1,0.970533333333333
"rho.comm[1]",-0.38718982195746,0.213256737383338,-0.828698898338535,-0.524624583835761,-0.379377357998616,-0.241352845824944,0.00859590502359902,1.0003242022273,6267,1,0.9718
"rho.comm[2]",0.0812865417852826,0.152396935088562,-0.222550669178564,-0.0192493222301414,0.0826487882313342,0.183415300461669,0.377159536724412,1.00020433591098,12901,1,0.707133333333333
"eff.traits.psi[1,1]",0.239793017027061,1.0220995153894,-1.52357632028888,-0.44115436214642,0.127780560570601,0.822817749540017,2.57989281262002,1.00017190772568,29012,1,0.558533333333333
"eff.traits.psi[2,1]",-0.221831056000539,0.484625329405309,-1.14294623150563,-0.529867733697382,-0.238138936515814,0.0650880349468649,0.786317592375212,1.00054845965099,8679,1,0.703333333333333
"eff.traits.psi[1,2]",0.459382183115424,0.743522799629349,-0.92238000412832,-0.045690812594418,0.428112700591995,0.939938282400488,1.99069856088563,1.00058223154281,6355,1,0.727333333333333
"eff.traits.psi[2,2]",0.272232352870886,0.381526265132196,-0.481228892804099,0.026995019775662,0.270672291827793,0.518172408330858,1.02696352310367,1.00074730156563,3097,1,0.773
"eff.traits.phi[1,1]",0.254579421006947,0.556449550924017,-0.884017892660781,-0.0781947036797237,0.267537293960884,0.608696880629408,1.30967914582618,1.00104818451924,30000,1,0.701366666666667
"eff.traits.phi[2,1]",0.0546202285572972,0.570062663942264,-1.04306157055375,-0.308110863807588,0.0377422969258077,0.396954032527794,1.26035334980339,1.00055169641444,3466,1,0.528566666666667
"eff.traits.phi[1,2]",-0.502383133889331,0.422483209172791,-1.35975356415474,-0.773490944544773,-0.49717825751499,-0.223644111517965,0.313824777057378,1.00043801995824,4358,1,0.891233333333333
"eff.traits.phi[2,2]",-0.155834476487351,0.414703313857375,-1.01068347834624,-0.416891304476017,-0.144504655078079,0.115894427230932,0.633417064605763,1.00026578903177,11816,1,0.644233333333333
"eff.traits.gamma[1,1]",1.05718038799954,0.991773343546841,-0.609482329244954,0.39181647726348,0.933097034580378,1.61390520839338,3.30361585455929,1.00255696371696,973,1,0.882066666666667
"eff.traits.gamma[2,1]",0.262920212857099,0.533748773200166,-0.700388302035792,-0.0824677170898679,0.226880754454351,0.567272608030627,1.43107271229814,1.00125542109226,1906,1,0.687833333333333
"eff.traits.gamma[1,2]",0.662293647812247,0.733263137738024,-0.741430406347982,0.17890094659078,0.633098564954158,1.12879178083905,2.17808547487574,1.00162775061191,1482,1,0.8279
"eff.traits.gamma[2,2]",0.639314575317112,0.36457701904918,-0.0447648479930513,0.396030478648805,0.625600232387376,0.864368157833687,1.40045774593406,1.00027409051948,6356,1,0.967066666666667
"eff.order.psi[1,1]",-0.713982994204689,1.7530610535565,-5.32927473708877,-1.35752754129297,-0.300055198180188,0.287779024641418,1.88817472828739,1.00027421295098,25002,1,0.630633333333333
"eff.order.psi[2,1]",-0.199218347888561,0.766012830808158,-2.00571628591316,-0.490395300865106,-0.117996740834014,0.191866257019447,1.12061215811873,1.00242850998227,30000,1,0.600166666666667
"eff.order.psi[1,2]",-1.17453234864466,1.43564494364544,-4.77724866866439,-1.87266342165317,-0.841068115100603,-0.184011817389064,0.82440195305493,1.00132027253602,5707,1,0.8253
"eff.order.psi[2,2]",-0.0528639142493115,0.621355467575049,-1.37553620620794,-0.334325587359356,-0.0248316408260393,0.266663136765717,1.11305713416718,1.00123664013287,7065,1,0.524566666666667
"eff.order.psi[1,3]",1.28253806814726,1.70400023187187,-1.10795728023012,0.128904693943057,0.868620814424069,2.11604486560889,5.54875227348443,1.00052617382862,13698,1,0.801566666666667
"eff.order.psi[2,3]",0.0975956518424661,0.688305892278777,-1.2385498050277,-0.246625316726761,0.0663075085622056,0.415770329740576,1.64075500072593,1.00058635672846,3573,1,0.5572
"eff.order.psi[1,4]",0.00219890043642919,1.39215163930874,-2.93265839841898,-0.657900308715149,-0.0212960692581936,0.634670470604993,3.05601152992776,1.00106899563517,15675,1,0.489933333333333
"eff.order.psi[2,4]",0.0394835633838556,0.686481690992415,-1.32345083350342,-0.289943542495856,0.0225674669655014,0.359352789254408,1.4933153281928,1.00138253134163,2406,1,0.5197
"beta.sp.psi1[1,1]",-3.67317280203742,0.955189661924518,-5.81825271713146,-4.23110426249129,-3.5659658974652,-2.99498954130069,-2.11265623726597,1.00065661284796,2893,0,1
"beta.sp.psi1[2,1]",-2.27599704897839,0.757004467503632,-3.94357637246932,-2.73370891436491,-2.20521382876746,-1.74397914528504,-0.986582917034953,1.00073122163758,2764,0,0.999966666666667
"beta.sp.psi1[1,2]",-1.16607651866269,0.514201912938512,-2.24472194087091,-1.49312758964611,-1.13979978964922,-0.812785471181733,-0.226878129566995,1.00009578253295,16067,0,0.9928
"beta.sp.psi1[2,2]",-2.33798531731606,0.548933235650058,-3.51837695279606,-2.67524133926334,-2.30057062712588,-1.95353676435191,-1.37527875217084,1.00063852395597,4151,0,1
"beta.sp.psi1[1,3]",0.0782661054025773,0.309126798461555,-0.52861702761136,-0.128938141009101,0.0755849994876737,0.282576098360567,0.685455566078696,1.00010411431076,18295,1,0.599066666666667
"beta.sp.psi1[2,3]",-0.835990995621862,0.321116867953478,-1.49260833793714,-1.04557361334857,-0.828805918252781,-0.616014451282342,-0.226329302805008,1.00008163505727,18418,0,0.9971
