"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta.comm.psi1[1]",-1.36092673273023,0.912190600145115,-2.97702759261078,-1.89700325472065,-1.43942185777866,-0.923069760777441,0.757307071396571,1.00068886088498,2891,1,0.932466666666667
"beta.comm.psi1[2]",-0.0392135560389343,0.41082808307467,-0.84413194962741,-0.255697429878455,-0.0390993742977196,0.173944789042993,0.758740300579999,1.00419243056614,931,1,0.549633333333333
"beta.comm.phi[1]",1.71656057099977,0.675007469868596,0.301963801016902,1.37272074293731,1.73635137679776,2.08346379730571,2.97251766089867,1.00788907584491,491,0,0.985
"beta.comm.phi[2]",0.0205468101430218,1.1801795339928,-2.42948114552457,-0.601735411779358,0.0417898202830974,0.654759800867303,2.38707858368722,1.00224354192293,8270,1,0.5187
"beta.comm.gamma[1]",-3.29251352239518,0.904395148102271,-4.7871000016204,-3.80410244995921,-3.38361197288174,-2.92433585368925,-1.07850446214716,1.00303665618296,5027,0,0.990733333333333
"beta.comm.gamma[2]",-0.267289874437475,0.456917136098748,-1.18283222487097,-0.521828023112401,-0.259043523774885,-0.00629478311564467,0.620011006554337,1.0023044257324,1785,1,0.754966666666667
"rho.comm[1]",-0.433882588194678,0.223956939395743,-0.900026920430099,-0.576748547453066,-0.424851613474361,-0.279904667884679,-0.020554856159826,1.00041354472543,4484,0,0.980633333333333
"rho.comm[2]",0.0898390071488172,0.152767601150167,-0.215407489403257,-0.00971594005249165,0.090833335234034,0.192178917057364,0.3867000787412,1.00029050780062,9897,1,0.727933333333333
"eff.traits.psi[1,1]",0.343867801345865,0.745928619792456,-0.967701045336129,-0.147392348848578,0.277340948024331,0.764410104800568,2.03148847895109,1.00107017358961,3840,1,0.668
"eff.traits.psi[2,1]",0.19861150941505,0.324236072021689,-0.415069246153516,-0.0118338561730957,0.187590940127587,0.392581603516091,0.887289431616555,1.00010021915336,16757,1,0.736833333333333
"eff.traits.psi[1,2]",0.267448152357112,0.53899116406092,-0.732467330861116,-0.0961876614746122,0.242130706671255,0.606221061952356,1.39722395163254,1.00111533214981,2721,1,0.6846
"eff.traits.psi[2,2]",0.165940903543327,0.230739291787594,-0.272132007070783,0.0149005976499848,0.160920696570448,0.312483316414565,0.637148642584966,1.00026143162985,7795,1,0.7716
"eff.traits.phi[1,1]",0.400482765378307,0.570020393828451,-0.751792880394065,0.0543738030979497,0.400060681033883,0.752829858128559,1.52643896708735,1.00177465157101,6709,1,0.782966666666667
"eff.traits.phi[2,1]",-0.32031071862014,1.12557371176809,-2.76990248698279,-1.01308219976073,-0.231806001551305,0.453976095991157,1.65532394502038,1.00204361681276,1118,1,0.584866666666667
"eff.traits.phi[1,2]",-0.407097765734947,0.429172944009631,-1.26301909271701,-0.676776642103751,-0.402308418749137,-0.129168385069809,0.423161283822793,1.00005898820363,30000,1,0.838566666666667
"eff.traits.phi[2,2]",-0.393334592206713,0.820522731603307,-2.15857723434504,-0.898412818237319,-0.329126345416741,0.167069799215187,1.0732095493626,1.0009673670671,3565,1,0.669033333333333
"eff.traits.gamma[1,1]",0.683443269438876,0.710171322188611,-0.552172983242383,0.224840319930852,0.611876949066431,1.07402238294081,2.32238818906867,1.00161821343343,2735,1,0.855966666666667
"eff.traits.gamma[2,1]",0.0262351431079365,0.392087420991545,-0.724389446121627,-0.22203175033338,0.0155629639951275,0.267555734752227,0.823296708260046,1.00020793179978,9829,1,0.517166666666667
"eff.traits.gamma[1,2]",0.382737379181146,0.517567695673777,-0.61935580737826,0.0490046196390282,0.373950679662814,0.70652849150313,1.4429792754575,1.00061006347579,5389,1,0.783133333333333
"eff.traits.gamma[2,2]",0.0924329264211879,0.284143669547775,-0.465463426975471,-0.0958935760871344,0.0909025913925128,0.278892166674827,0.655250124383015,1.00049741225273,4527,1,0.6276
