"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta.comm.psi1[1]",-1.39335565242206,0.913955147321787,-3.01811452681681,-1.92008262145798,-1.46948016504907,-0.956503159823526,0.726927724932567,1.00156287604552,2097,1,0.935266666666667
"beta.comm.psi1[2]",0.131457511086003,0.388263905546509,-0.642479244565641,-0.0772163642565515,0.129932810379653,0.337443376649012,0.89293390350225,1.00136492201342,4628,1,0.665566666666667
"beta.comm.phi[1]",1.78125132351174,0.633770152470877,0.44238465476701,1.44159444590094,1.79644367727868,2.13773168885035,2.9918814613668,1.00329643054173,6542,0,0.989233333333333
"beta.comm.phi[2]",-0.43766116378451,0.697953372218124,-1.8675429565764,-0.81287749596786,-0.430187259633669,-0.0469452768115333,0.929825541643448,1.00051004348352,4136,1,0.7752
"beta.comm.gamma[1]",-3.29472769960691,0.886710293291088,-4.77538254172178,-3.81164095044316,-3.38185147409761,-2.91149003507335,-1.10717403581039,1.0015924952588,3489,0,0.992933333333333
"beta.comm.gamma[2]",0.243865120892325,0.443665879882869,-0.661344152625352,0.0201506276569494,0.256887798527251,0.490775990169691,1.08177068979837,1.0055436683296,1246,1,0.7667
"rho.comm[1]",-0.409407940955579,0.223652727421062,-0.871627115693469,-0.552352366754715,-0.398050200121227,-0.255028420637792,-0.00126630342038507,1.00054569548708,3470,0,0.975533333333333
"rho.comm[2]",0.0733336612263047,0.152638677852042,-0.231234485736178,-0.0279059165408833,0.0750166680798165,0.175096350833421,0.370886073399824,1.0004656665253,7916,1,0.6899
"eff.traits.psi[1,1]",0.312320467335229,0.752533474947543,-1.01471087880512,-0.184489025242682,0.241007992329526,0.73701345849657,2.01170573491448,1.00048627089029,4090,1,0.646
"eff.traits.psi[2,1]",0.0523669627699444,0.300834992345705,-0.560187073335364,-0.13467166457916,0.0573121160263859,0.239965405143595,0.641334308410792,1.00073532058848,4109,1,0.581766666666667
"eff.traits.psi[1,2]",0.264883169975052,0.545969837737924,-0.74291882291156,-0.105434854236003,0.238377603759691,0.611171101658568,1.39656512044643,1.00083131220707,2301,1,0.678233333333333
"eff.traits.psi[2,2]",0.00148776070933977,0.216723868267917,-0.426389735341226,-0.138375112748678,0.00148307211501209,0.141631760250169,0.431251005095327,1.00008832022287,30000,1,0.5032
"eff.traits.phi[1,1]",0.345104284033995,0.566445241157592,-0.801913422776214,0.000520879833790127,0.350065895227541,0.691409050451151,1.47695547436416,1.00097469727788,2405,1,0.750433333333333
"eff.traits.phi[2,1]",-0.339857354844089,0.654260663665846,-1.68767956855027,-0.735616139771408,-0.331359017414896,0.0660145780749168,0.947361324515426,1.00079993654901,2642,1,0.7133
