"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta.comm.psi1[1]",-2.05182580883055,1.25847239386591,-4.23340194273843,-2.81682455918927,-2.16676980894268,-1.44463098186304,0.910183085734565,1.00141924041028,3115,1,0.9411
"beta.comm.psi1[2]",-1.97849668118982,0.803481094892536,-3.51912919546098,-2.42533442457097,-1.98336395734522,-1.55095727563189,-0.360641379139996,1.00351087187605,1685,0,0.9848
"beta.comm.psi1[3]",-0.376536297105812,0.79143431059755,-2.03572359023016,-0.783478386286137,-0.364965325682208,0.043674590466288,1.20256429483369,1.0020799144914,2254,1,0.7266
"beta.comm.psi1[4]",-0.489560193755118,0.43887893650539,-1.33590003008997,-0.736737729066884,-0.492924642091724,-0.251653449497876,0.395064241570773,1.00621889734641,4642,1,0.9012
"beta.comm.psi1[5]",0.497062870287902,0.504367986060368,-0.466839367096146,0.240250644192855,0.500073068310025,0.759771947737769,1.47721009262858,1.00186966700688,1823,1,0.887066666666667
"beta.comm.phi[1]",2.60476908265062,1.03417134059892,0.277747500450344,2.09814624941351,2.66050277915005,3.21426552438882,4.45666234826684,1.00230877786613,2317,0,0.980366666666667
"beta.comm.phi[2]",-0.480771343430624,0.917450072472859,-2.27131848038186,-1.02903812955363,-0.493152292843469,0.0456282863276619,1.45246365796205,1.00243717786525,1202,1,0.732833333333333
"beta.comm.phi[3]",-0.623213309058089,1.09502023603624,-2.75070253648872,-1.27225862879252,-0.638552531210692,-0.000550846683681341,1.6633037733294,1.00064258989332,5176,1,0.7502
"beta.comm.phi[4]",-0.793713759126566,0.865169344115108,-2.5539606752121,-1.28368706689627,-0.785673665637966,-0.304929854111825,0.935474933045422,1.00079988870675,5277,1,0.8566
"beta.comm.phi[5]",0.140432590900779,1.42318893826153,-2.80360353241877,-0.525651894577354,0.211391061398801,0.906562177671825,2.75710150759242,1.00916236001713,3062,1,0.5828
"beta.comm.gamma[1]",-3.46440778216563,1.80085823304624,-6.23886923639387,-4.6217748066908,-3.79002320165231,-2.61526249830318,1.00851153802198,1.00546104372393,445,1,0.948966666666667
"beta.comm.gamma[2]",-2.39779702648769,1.15929888232955,-4.94746513626878,-2.98644240272019,-2.35037354210277,-1.79118839979331,-0.0922991790928625,1.00636939742411,345,0,0.9768
"beta.comm.gamma[3]",-0.822038570023309,1.02504864434889,-3.12349808045905,-1.38239619556981,-0.745969851307624,-0.200155327956059,1.06220685912525,1.0019669310136,1630,1,0.822666666666667
"beta.comm.gamma[4]",-0.177684504674093,0.517772193984585,-1.25070441397923,-0.449229826680106,-0.163063025794733,0.115210593033063,0.802211842589732,1.00539763879341,8356,1,0.653933333333333
"beta.comm.gamma[5]",0.296834802109758,0.554701376846206,-0.849109472292454,-0.00533046871571555,0.308369807892142,0.612790311952938,1.35899299920511,1.00052124340317,5179,1,0.746466666666667
"rho.comm[1]",-0.390554591113084,0.212129962376198,-0.831170004243355,-0.525636477649648,-0.383106467180899,-0.24605270066344,0.00407722622398712,1.00082337829242,2577,1,0.973733333333333
"rho.comm[2]",0.0715695708506663,0.15201553552714,-0.233090549067462,-0.0280528603068264,0.071793699709777,0.172555048727687,0.366914165098752,1.00060029488085,3744,1,0.686933333333333
"eff.traits.psi[1,1]",0.0180055953703592,1.1821507201021,-1.97958562173657,-0.773561521454722,-0.118743559543007,0.674106968909733,2.78633142795227,1.00100012256696,2654,1,0.4576
"eff.traits.psi[2,1]",-0.0569011629363741,0.686541048325456,-1.37820278394317,-0.491773178389446,-0.075447456541983,0.347786439930296,1.39940760726587,1.00092901775766,2469,1,0.549333333333333
"eff.traits.psi[3,1]",0.292185580385261,0.637205155381955,-0.956146330017656,-0.103204812261118,0.283387542308511,0.674443329154772,1.60801678828399,1.00173982110568,1161,1,0.6915
"eff.traits.psi[4,1]",0.0168595957390116,0.368430234407273,-0.722867632700227,-0.207032114090884,0.0210551545323332,0.249487646973101,0.735450399201825,1.00010283787395,30000,1,0.526833333333333
"eff.traits.psi[5,1]",0.101428608422381,0.390219756366478,-0.702418075782242,-0.14009843522944,0.104044134091463,0.347495550511262,0.872148682461454,1.00021241678325,8683,1,0.6145
"eff.traits.psi[1,2]",-0.0119076705795741,0.841488570616073,-1.5798206700599,-0.576037572121764,-0.0493324710664282,0.516497210861792,1.74191431177535,1.00017801280552,10973,1,0.524033333333333
"eff.traits.psi[2,2]",0.513721071460752,0.531976732465589,-0.48953035333993,0.168900838135503,0.496198270450761,0.83608496896813,1.63943673355154,1.00133160912555,1515,1,0.845333333333333
"eff.traits.psi[3,2]",0.737342653241946,0.475352370173153,-0.111726030859641,0.414610086733962,0.704583348878929,1.02460137498379,1.77269685639801,1.00010824764401,30000,1,0.954633333333333
"eff.traits.psi[4,2]",0.0677662191790164,0.272195263816083,-0.48056961803545,-0.107013700047129,0.0683730580300512,0.244807640185187,0.602309607909569,1.000147478898,14850,1,0.6027
"eff.traits.psi[5,2]",0.1966790724733,0.290220206686028,-0.367646082397822,0.0076903304166606,0.18998655531323,0.381688982097369,0.776082821388025,0.999992253254146,30000,1,0.7585
"eff.traits.phi[1,1]",0.936314025217438,0.870806924760153,-0.835611965813861,0.395879551075264,0.949734014124272,1.49645169236559,2.63387115842034,1.00126323833056,4089,1,0.868033333333333
"eff.traits.phi[2,1]",-0.733014724230395,1.13141417527577,-3.01854071037555,-1.46385357471323,-0.697573549335751,0.0209981954903882,1.44989267337486,1.00098148302765,3174,1,0.743533333333333
"eff.traits.phi[3,1]",-0.651324446603302,1.15140911492916,-3.0523205401997,-1.37223562188485,-0.620957761702237,0.104213687040945,1.56359236493349,1.00063787695354,3045,1,0.7164
"eff.traits.phi[4,1]",-0.547109933641524,0.837254880774965,-2.25964560123529,-1.0564762007266,-0.534744079834242,-0.0326834330053874,1.11214728975728,1.00049123758327,4734,1,0.762933333333333
"eff.traits.phi[5,1]",-0.625882272711173,1.07291687030647,-3.0049103927889,-1.27121004097824,-0.531772987858466,0.108173008560184,1.27511725009714,1.00086651042059,2951,1,0.709133333333333
"eff.traits.phi[1,2]",-0.0911663746232405,0.719356928979929,-1.59471422693514,-0.522331783077345,-0.0618861575189657,0.371717070003607,1.27423650966163,1.00126103418759,13085,1,0.538233333333333
"eff.traits.phi[2,2]",-0.451873023654909,0.717520704312415,-1.93276075957838,-0.897380869419588,-0.419650847910535,0.0234640726955199,0.880238257879488,1.00085607244949,15202,1,0.737933333333333
"eff.traits.phi[3,2]",-0.560176953294187,0.826838077107422,-2.16057915366219,-1.09294719359106,-0.579722032465843,-0.0450537768317774,1.15468107194412,1.0010465051121,2243,1,0.7666
"eff.traits.phi[4,2]",-0.478579337566087,0.60690337302478,-1.76295663720332,-0.852347175675046,-0.452883727711921,-0.0821895205107531,0.64063474177523,1.00028487300187,30000,1,0.7931
"eff.traits.phi[5,2]",-0.939177459322185,0.884117391838857,-2.83526059253886,-1.49470455318339,-0.873922328641164,-0.32112068999648,0.600418732167296,1.00424479448439,636,1,0.862633333333333
"eff.traits.gamma[1,1]",1.52931744387292,1.33195390616846,-0.768857274970383,0.5991654822739,1.3858059502082,2.36645568073245,4.39970012397723,1.00101147312603,3001,1,0.8911
"eff.traits.gamma[2,1]",1.19573589321495,0.983041682864961,-0.539791829218885,0.547854691045013,1.11099800385288,1.76177953944476,3.40729776024208,1.0020791422196,1140,1,0.910633333333333
"eff.traits.gamma[3,1]",0.734173876387558,0.902750325865429,-0.93740663113887,0.150030346526401,0.6963206945514,1.26787399854284,2.65382192771644,1.0016227476057,2231,1,0.8056
"eff.traits.gamma[4,1]",0.0863469683449799,0.44696683501387,-0.839615011619315,-0.18575241042811,0.0963408768764409,0.373596306897376,0.944204241792571,1.00027179236063,18088,1,0.5921
"eff.traits.gamma[5,1]",-0.00218441504037117,0.496646994209804,-1.05577613657486,-0.298074908781154,0.0161104875475654,0.312951104867776,0.926882959516398,1.00111156651259,2288,1,0.4848
"eff.traits.gamma[1,2]",1.71664292475716,1.0065358421876,-0.129166984870191,1.02251066495009,1.67721530428574,2.36908076197132,3.80702724319401,1.00103926359341,6793,1,0.965366666666667
"eff.traits.gamma[2,2]",1.34063430070525,0.683641088930433,0.221273084387852,0.890337424734702,1.26346495156695,1.70068553748327,2.92603142305116,1.00383088674519,13046,0,0.991066666666667
"eff.traits.gamma[3,2]",-0.123065242755777,0.693263572421711,-1.4201114783095,-0.567933037287764,-0.148961597629866,0.282017622920581,1.35261286430047,1.00468372726806,1342,1,0.594633333333333
"eff.traits.gamma[4,2]",-0.100164841881108,0.313522055765017,-0.724452934806824,-0.304803659138708,-0.0999022761300977,0.103274586356723,0.52334753117733,1.00001470443965,30000,1,0.628233333333333
"eff.traits.gamma[5,2]",0.0352178675694366,0.357914945712632,-0.663534573018516,-0.198943025649232,0.0344063593432842,0.266009722635218,0.751377684008225,1.00025736527294,6588,1,0.5392
"eff.order.psi[1,1]",-0.736601810002605,1.93707500161267,-5.96406344969288,-1.35998959743701,-0.265057301543758,0.320054548639481,2.09356282222489,1.00167327188828,2918,1,0.613233333333333
"eff.order.psi[2,1]",-0.662648910774541,1.2691320734922,-4.00384084451728,-1.07872391959163,-0.369005603936144,0.0633295518077046,1.07324257114225,1.00146561086327,3005,1,0.7131
"eff.order.psi[3,1]",-0.366148593599136,1.09538950939912,-2.91912333283942,-0.849159284416243,-0.237865648443643,0.225610102103016,1.61305834699261,1.00033678604299,8837,1,0.636033333333333
"eff.order.psi[4,1]",-0.110020284245894,0.58659778348099,-1.37849429439777,-0.3960997521787,-0.0837738001351565,0.196555695479721,1.01966092111791,1.00342126499828,5220,1,0.581033333333333
"eff.order.psi[5,1]",0.163791947933524,0.664959931799799,-1.06178667761382,-0.184735454250318,0.117896001868201,0.464736629481121,1.59139221422027,1.00232494193845,3391,1,0.605866666666667
"eff.order.psi[1,2]",-1.29214504334945,1.59389023837179,-5.32290346297441,-2.04224505986274,-0.889620428629851,-0.20581641123867,0.824983636927899,1.00195271599456,2346,1,0.829866666666667
"eff.order.psi[2,2]",0.0896954294571046,0.878666022322213,-1.80584815989535,-0.294407618612387,0.107772206432696,0.524561221471249,1.78689136964742,1.00468088111736,1345,1,0.575266666666667
"eff.order.psi[3,2]",0.0820924267411132,0.886532042534072,-1.78035379306163,-0.352650436677698,0.0858169813035601,0.533920608739246,1.89621915642453,1.00143532822655,1636,1,0.556066666666667
