"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta.comm.psi1[1]",-2.08129019464215,1.2780986574158,-4.21075567201301,-2.85551293409974,-2.22892966116683,-1.48477063065924,0.927543861384023,1.00339001722439,4124,1,0.9402
"beta.comm.psi1[2]",-1.6681442293832,0.640057426914129,-2.90834351346923,-2.02864121536475,-1.67378175395761,-1.32955555202708,-0.38545647279615,1.00051083561007,5396,0,0.9881
"beta.comm.psi1[3]",-0.472898367624148,0.462279656513328,-1.37092779060588,-0.710450585813825,-0.469339626390001,-0.231772048047648,0.410682159961604,1.00676497528855,30000,1,0.895333333333333
"beta.comm.psi1[4]",0.443849291665589,0.528145374272015,-0.527522493376255,0.194405176225486,0.449809615491575,0.710442189624138,1.4341093236084,1.01612892780206,5462,1,0.872733333333333
"beta.comm.phi[1]",2.01383016019162,0.744121355796217,0.445239068015475,1.60807958485226,2.02869571284513,2.44661598112991,3.42933688058071,1.00165421625904,2094,0,0.987466666666667
"beta.comm.phi[2]",-0.108670477023619,0.831253546468524,-1.74672359940513,-0.581060558084639,-0.126889249429753,0.351746712833463,1.62602587365952,1.00154833492098,6340,1,0.575533333333333
"beta.comm.phi[3]",-0.582720068599913,0.837533312693724,-2.20287666145916,-1.04681432052498,-0.599339151978084,-0.144477185941131,1.10936235182798,1.00154727490208,1575,1,0.8084
"beta.comm.phi[4]",0.0317603097758027,1.18663433461216,-2.41176825756156,-0.609751250560157,0.0574155194625738,0.6742669200635,2.42051436078845,1.00104805992248,2973,1,0.523033333333333
"beta.comm.gamma[1]",-3.6973120992466,1.63192694598931,-6.20310195063054,-4.73759832270152,-3.98708065092529,-2.96843197918753,0.429211913969618,1.00234103527193,1895,1,0.965933333333333
"beta.comm.gamma[2]",-1.71520225322094,0.728984788169963,-3.21067995921904,-2.11929936062429,-1.71094690857336,-1.31195406552884,-0.20809166223737,1.00022172330228,30000,0,0.983033333333333
"beta.comm.gamma[3]",-0.188952651473009,0.505153106148455,-1.29797263276339,-0.452517844727179,-0.171993202351743,0.0964838046936168,0.777023235224412,1.0025624251042,1458,1,0.667033333333333
"beta.comm.gamma[4]",0.248822906060229,0.525001704420198,-0.799287576240597,-0.0407290736905839,0.252492066841725,0.543531653817797,1.26424964509064,1.00215936476364,1959,1,0.720866666666667
"rho.comm[1]",-0.394727503983871,0.214417725032693,-0.83583020798032,-0.531452432860315,-0.387329577877256,-0.248116305316549,0.00317518718616474,1.00035820898394,6779,1,0.974166666666667
"rho.comm[2]",0.0714677224273445,0.153014664175093,-0.233781972411731,-0.0277186199801536,0.0733006139811268,0.173394548144502,0.368430922991237,1.0003338756472,7843,1,0.688633333333333
"eff.traits.psi[1,1]",0.232217538151834,1.10622719306486,-1.693108112943,-0.510182589184769,0.113725019256234,0.868609078348414,2.72633555785789,1.00123919587935,2761,1,0.5468
"eff.traits.psi[2,1]",-0.174362138381978,0.555302769698552,-1.25989890209197,-0.520266460417027,-0.185879292193,0.157870805093565,0.964046416664587,1.00091442779557,2512,1,0.6442
"eff.traits.psi[3,1]",0.00188524054090821,0.369106959939754,-0.739460141867997,-0.227793994310171,0.00505782086565968,0.234457388483489,0.734540200403984,1.00077776499186,2678,1,0.506166666666667
"eff.traits.psi[4,1]",0.0943945392592688,0.385619837949735,-0.687870252264468,-0.143092011588337,0.0962750705275733,0.333714564772411,0.857543641647798,0.999984294793165,30000,1,0.609666666666667
